iter	Passed	Remaining
400	20911	31236
401	20958	31177
402	21005	31116
403	21053	31059
404	21101	31001
405	21150	30943
406	21205	30896
407	21252	30837
408	21303	30783
409	21359	30737
410	21407	30679
411	21456	30621
412	21524	30592
413	21572	30534
414	21621	30478
415	21669	30420
416	21717	30362
417	21764	30304
418	21812	30246
419	21860	30188
420	21908	30130
421	21956	30072
422	22003	30013
423	22051	29956
424	22099	29898
425	22147	29842
426	22197	29787
427	22245	29730
428	22294	29674
429	22341	29615
430	22400	29573
431	22448	29515
432	22495	29457
433	22542	29398
434	22592	29344
435	22640	29287
436	22687	29229
437	22735	29172
438	22783	29115
439	22831	29057
440	22878	29000
441	22926	28943
442	22973	28885
443	23022	28830
444	23071	28774
445	23118	28716
446	23171	28666
447	23219	28610
448	23267	28552
449	23315	28496
450	23362	28438
451	23411	28383
452	23458	28326
453	23505	28268
454	23552	28211
455	23600	28154
456	23648	28099
457	23696	28042
458	23746	27988
459	23793	27932
460	23841	27875
461	23892	27822
462	23939	27765
463	23986	27709
464	24035	27654
465	24082	27597
466	24130	27540
467	24181	27488
468	24228	27431
469	24275	27373
470	24323	27318
471	24372	27263
472	24419	27207
473	24466	27150
474	24513	27094
475	24560	27037
476	24608	26981
477	24655	26925
478	24704	26870
479	24751	26814
480	24799	26758
481	24846	26702
482	24894	26647
483	24970	26621
484	25020	26567
485	25067	26511
486	25115	26456
487	25167	26405
488	25215	26349
489	25263	26294
490	25311	26238
491	25359	26184
492	25407	26128
493	25455	26073
494	25502	26017
495	25549	25961
496	25597	25906
497	25645	25851
498	25692	25795
499	25740	25740
500	25788	25685
501	25836	25630
502	25883	25574
503	25928	25517
504	25976	25462
505	26025	25408
506	26082	25362
507	26133	25310
508	26183	25257
509	26230	25202
510	26279	25147
511	26328	25093
512	26375	25038
513	26423	24983
514	26470	24928
515	26518	24873
516	26568	24821
517	26616	24766
518	26665	24713
519	26713	24658
520	26761	24604
521	26809	24549
522	26856	24494
523	26903	24438
524	26949	24383
525	26997	24328
526	27046	24274
527	27094	24220
528	27148	24171
529	27196	24117
530	27243	24062
531	27292	24009
532	27340	23955
533	27388	23901
534	27436	23847
535	27484	23792
536	27535	23740
537	27586	23689
538	27636	23636
539	27685	23583
540	27734	23530
541	27790	23483
542	27840	23431
543	27889	23378
544	27938	23324
545	27992	23275
546	28044	23225
547	28095	23173
548	28148	23123
549	28197	23070
550	28244	23015
551	28300	22968
552	28347	22913
553	28398	22861
554	28447	22808
555	28494	22754
556	28542	22700
557	28591	22647
558	28639	22594
559	28689	22541
560	28739	22489
561	28790	22437
562	28837	22383
563	28884	22329
564	28936	22278
565	28985	22225
566	29033	22171
567	29083	22119
568	29136	22070
569	29184	22016
570	29244	21971
571	29294	21919
572	29344	21867
573	29393	21814
574	29441	21760
575	29488	21706
576	29537	21654
577	29586	21601
578	29634	21547
579	29684	21495
580	29731	21441
581	29779	21388
582	29827	21334
583	29878	21283
584	29926	21230
585	29975	21176
586	30027	21126
587	30076	21074
588	30130	21025
589	30184	20975
590	30230	20920
591	30277	20866
592	30327	20814
593	30376	20762
594	30423	20708
595	30482	20662
596	30541	20616
597	30589	20563
598	30638	20511
599	30687	20458
600	30735	20405
601	30783	20352
602	30841	20305
603	30890	20252
604	30937	20199
605	30984	20145
606	31031	20091
607	31079	20037
608	31131	19987
609	31179	19934
610	31227	19881
611	31274	19827
612	31324	19775
613	31372	19722
614	31420	19669
615	31467	19616
